order,question,answer
1,Who can use the food bank?,"Anyone in the Laingsburg School District area who needs food assistance. This includes Laingsburg, Woodhull Township, Victor Township, and surrounding areas."
2,What do I need to bring?,"Nothing! We don't require ID, proof of income, or proof of address. Just come during our open hours."
3,How often can I visit?,As often as you need. There are no limits on how frequently you can receive food assistance.
4,Do I need an appointment?,No appointment needed. Just walk in during our regular hours: Monday 1-3 PM or Thursday 5-7 PM.
5,What food is available?,"We offer fresh produce, canned goods, bread, dairy, proteins, and pantry staples. Availability varies, but we always have a good selection."
6,Is the food free?,"Yes, completely free. We're here to help our neighbors, no strings attached."
7,Can I donate food?,"Absolutely! Drop off non-perishable items during our regular hours. Most needed: canned proteins, peanut butter, cereal, and canned vegetables."
8,How can I volunteer?,Contact us at (517) 651-5531 or laingsburgumc@gmail.com. We need help with sorting, stocking, and distribution.
9,Are monetary donations accepted?,"Yes! Financial contributions help us purchase fresh food and cover operational costs. Contact us to arrange a donation."
10,Is the food bank a registered nonprofit?,We operate through Laingsburg United Methodist Church. Contact us for information about tax-deductible donations.
